date,fund_code,fund_name,nav,estimate_nav,daily_change,estimate_time
2026-03-05,000001,华夏成长混合,1.0920,1.1101,1.66,2026-03-05 15:00
2026-03-05,000001,华夏成长混合,1.0920,1.1101,1.66,2026-03-05 15:00
